Name,Price,Stock,Sku,Image_url,Description,Bukalapak_link,Tokopedia_link,Shopee_link,Whatsapp
INTEL CORE I7 13700F,6.065.000,Stok Tersedia,,['https://starcompjogja.com/storage/product/0c2776235026d62820c6ebc65033fb40_intel-core-i7-13700f_1.webp']," Spesifikasi Produk :  CPU information Processor number : Intel Core i7-13700F Family : Intel Core i7 CPU series : Intel Core i 13000 Vertical Market : Desktop / Server Generation : 13  Number of CPU cores and base frequency Number of CPU cores and base frequency CPU Cores / Threads : 16 / 24 Core architecture : hybrid (big.LITTLE) A-Core : 8x Raptor Cove B-Core : 8x Gracemont Hyper-Threading Technology : Yes Overclocking : No A-Core Frequency : 2.10 GHz (5.20 GHz) B-Core Frequency : 2.10 GHz (4.10 GHz)  Memory & PCIeMemory & PCIe Memory type : DDR5-5600 Maximum memory : 128 GB Memory Channels : 2 Bandwidth : 89.6 GB/s ECC : yes PCIe : 5.0 x 20 AES-NI : Yes  Thermal Management TDP (PL1) : 65W TDP (PL2) : 202W TDP up : -- TDP down : -- Tjunction max. : 100 °C  Technical Details Instruction Set (ISA) : x86-64 (64 bit) Instruction Set Extensions : SSE4.1, SSE4.2, AVX2, AVX2+ L2-Cache : 24.00MB L3-Cache : 30.00MB Architecture : Raptor Lake S Process : 10nm Virtualization : VT-x, VT-x EPT, VT-d Socket : LGA 1700 Release Date : Q1/2023 Code: -- ",https://www.bukalapak.com/p/komputer/hardware/processor/4hlnglj-jual-intel-core-i7-13700f-2-1ghz-up-to-5-2ghz-processor-lga-1700-13700-f,https://www.tokopedia.com/starcomporigin/intel-core-i7-13700f-2-1ghz-up-to-5-2ghz-processor-lga-1700-13700-f,https://shopee.co.id/Intel-Core-i7-13700F-2.1GHz-Up-To-5.2GHz-Processor-LGA-1700-13700-F-i.40255164.23735103884?sp_atk=68b058cc-8953-4280-b9dc-98a3b3b8b9d8&xptdk=68b058cc-8953-4280-b9dc-98a3b3b8b9d8,https://api.whatsapp.com/send?phone=+628112641352&text=Hai
ASROCK X670E TAICHI + AMD RYZEN 9 7900 BUNDLE PROMO - LATTE SET,15.460.000,Stok Tersedia,,['https://starcompjogja.com/storage/product/da1282f32a240906392306dbaa9d8e9b_asrock-x670e-taichi-amd-ryzen-9-7900-bundle-promo-latte-set_1.webp']," Spesifikasi Motherboard • Supports AMD Ryzen™ 7000 Series Processors • 24+2+1 Phase Power Design, SPS for VCore+GT • 4 x DDR5 DIMMs, supports up to 6600+(OC) • 2 PCIe 5.0 x16 • Graphics Output Options: 2 USB4 Type-C, 1 HDMI • Realtek ALC4082 5.1 CH HD Audio Codec, • ESS SABRE9218 DAC, WIMA Audio Caps • 1 Blazing M.2 (PCIe Gen5x4), • 1 Hyper M.2 (PCIe Gen4x4 & SATA3), • 2 Hyper M.2 (PCIe Gen4x4), • 8 SATA3 • 2 USB4 Type-C (Rear), • 1 USB 3.2 Gen2x2 Type-C (Front), • 5 USB 3.2 Gen2 Type-A (Rear), • 7 USB 3.2 Gen1 (3 Rear, 4 Front) • Killer 2.5G LAN • Killer 802.11ax Wi-Fi 6E + Bluetooth Spesifikasi Processor : Platform: Desktop Product Family: AMD Ryzen™ Processors Product Line: AMD Ryzen™ 9 Processors # of CPU Cores: 12 # of Threads: 24 Max. Boost Clock: Up to 5.4GHz Base Clock: 3.7GHz L1 Cache: 768KB L2 Cache: 12MB L3 Cache: 64MB Default TDP: 65W Processor Technology for CPU Cores: TSMC 5nm FinFET Unlocked for Overclocking: Yes CPU Socket: AM5 Thermal Solution (PIB): AMD Wraith Prism Max. Operating Temperature (Tjmax): 95°C  *OS Support Windows 11 - 64-Bit Edition Windows 10 - 64-Bit Edition RHEL x86 64-Bit Ubuntu x86 64-Bit *Operating System (OS) support will vary by manufacturer.  Graphics Model: AMD Radeon™ Graphics Graphics Core Count: 2 Graphics Frequency: 2200 MHz GPU Base: 400 MHz ",None,https://www.tokopedia.com/starcomporigin/asrock-x670e-taichi-amd-ryzen-9-7900-bundle-promo-latte-set?extParam=whid%3D279726,None,https://api.whatsapp.com/send?phone=+628112641352&text=Hai
INTEL CORE I3 13100F,2.040.000,Stok Tersedia,,['https://starcompjogja.com/storage/product/61c271e262a71246823687ff9946ddff_intel-core-i3-13100f_1.webp'], Spesifikasi Produk :  Processor Intel Core i3 13100F 3.4GHz Up To 4.8GHz - [Box] LGA 1700  CPU Specifications Total Cores 4 # of Performance-cores 4 # of Efficient-cores 0 Total Threads 8 Max Turbo Frequency 4.50 GHz Performance-core Max Turbo Frequency 4.50 GHz Performance-core Base Frequency 3.40 GHz Cache 12 MB Intel® Smart Cache Total L2 Cache 5 MB Processor Base Power 58 W Maximum Turbo Power 89 W ,https://www.bukalapak.com/p/komputer/hardware/processor/4hiuxa1-jual-intel-core-i3-13100f-box-raptor-lake-socket-lga-1700-processor-13100-f,https://www.tokopedia.com/starcomporigin/intel-core-i3-13100f-box-raptor-lake-socket-lga-1700-processor-13100-f,https://shopee.co.id/Intel-Core-I3-13100F-Box-Raptor-Lake-Socket-LGA-1700-Processor-13100-F-i.40255164.23314807792?sp_atk=05ee3c62-1bb7-4fa8-b5f4-c330ace26f93&xptdk=05ee3c62-1bb7-4fa8-b5f4-c330ace26f93,https://api.whatsapp.com/send?phone=+628112641352&text=Hai
INTEL CORE I5 13400F,3.490.000,Stok Tersedia,,['https://starcompjogja.com/storage/product/86f842ab812e4f5bdc9d6edfcb43251a_intel-core-i5-13400f_1.webp']," Spesifikasi Produk :  Class: Desktop Socket: FCLGA1700 Total Cores: 10 Cores, 16 Threads Performance Cores: 6 Cores, 12 Threads, 2.5 GHz Base, 4.6 GHz Turbo Efficient Cores: 4 Cores, 4 Threads, NA Base, 3.3 GHz Turbo Typical TDP: 65 W Cache Size: L1: 864 KB, L2: 9.5 MB, L3: 20 MB Max # of Memory Channels 2 Max Memory Bandwidth 89.6 GB/s ",https://www.bukalapak.com/p/komputer/hardware/processor/4hit3k7-jual-intel-core-i5-13400f-box-lga1700-processor-13400-f-up-to-4-60ghz,https://www.tokopedia.com/starcomporigin/intel-core-i5-13400f-box-lga1700-processor-13400-f-up-to-4-60ghz,https://shopee.co.id/Intel-Core-i5-13400F-Box-LGA1700-Processor-13400-F-up-to-4.60GHz-i.40255164.17191755535?sp_atk=a929f35d-c792-4d65-bcc2-7e7a880a0fbb&xptdk=a929f35d-c792-4d65-bcc2-7e7a880a0fbb,https://api.whatsapp.com/send?phone=+628112641352&text=Hai
CORE I5 13400 RAPTOR LAKE,4.059.000,Stok Tersedia,,['https://starcompjogja.com/storage/product/55a3ee810384946bdbde9dc5d41259e0_core-i5-13400-raptor-lake_1.webp']," Spesifikasi Produk :  Intel Core i5-13400  Description: Intel UHD Graphics  Class: Desktop  Socket: FCLGA1700  Total Cores: 10 Cores, 16 Threads  Performance Cores: 6 Cores, 12 Threads, 2.5 GHz Base, 4.6 GHz Turbo  Efficient Cores: 4 Cores, 4 Threads, NA Base, 3.3 GHz Turbo  Typical TDP: 65 W  Cache Size: L1: 864 KB, L2: 9.5 MB, L3: 20 MB  Other names: 13th Gen Intel(R) Core(TM) i5-13400  CPU First Seen on Charts: Q3 2022  Overall Rank: 188 ",https://www.bukalapak.com/p/komputer/hardware/processor/4hhxioy-jual-intel-core-i5-13400-box-raptor-lake-processor-lga1700-up-to-4-60ghz,https://www.tokopedia.com/starcomporigin/intel-core-i5-13400-box-raptor-lake-processor-lga1700-up-to-4-60ghz,https://shopee.co.id/INTEL-Core-i5-13400-Box-Raptor-Lake-Processor-LGA1700-up-to-4.60GHz-i.40255164.20965838185?sp_atk=5694caac-425c-4714-bb74-39a6a7fa715f&xptdk=5694caac-425c-4714-bb74-39a6a7fa715f,https://api.whatsapp.com/send?phone=+628112641352&text=Hai
INTEL CORE I5 12600K,5.500.000,Stok Habis,,"['https://starcompjogja.com/storage/product/e8704bf35f79a48d5924335432f1ea28_intel-core-i5-12600k_1.webp', 'https://starcompjogja.com/storage/product/e8704bf35f79a48d5924335432f1ea28_intel-core-i5-12600k_2.webp']", Spesifikasi :  Frequency 3.40 GHz CPU Cores 10 CPU Threads 16 Turbo (1 Core) 4.90 GHz Turbo (10 Cores): 4.50 GHz Hyperthreading Yes check Overclocking Yes check Core Architecture hybrid (big.LITTLE)  Internal Graphics Memory type DDR4-3200 DDR5-4800 GPU name Intel Iris Xe Graphics 32 (Alder Lake S) GPU frequency 0.40 GHz GPU (Turbo) 1.45 GHz Generation DirectX Version 12 Execution units 32 Shader 256 Max memory Max. displays 3 Technology 10 nm ,https://www.bukalapak.com/p/komputer/hardware/processor/4gryd5p-jual-intel-core-i5-12600k-3-4ghz-10-core-16-threads-alder-lake-lga1700,https://www.tokopedia.com/starcomporigin/intel-core-i5-12600k-3-4ghz-10-core-16-threads-alder-lake-lga1700,https://shopee.co.id/Intel-Core-i5-12600K-3.4GHz-10-Core-16-Threads-Alder-Lake-LGA1700-i.40255164.13848286446?sp_atk=85fe1281-6361-4a2f-bd1c-e76dd15adfe6,https://api.whatsapp.com/send?phone=+628112641352&text=Hai
AMD RYZEN 5 5600X AM4 PROCESSOR,2.755.000,Stok Tersedia,,['https://starcompjogja.com/storage/product/e950626b389725c58ac3db154a1ad578_amd-ryzen-5-5600x-am4-processor_1.webp']," Platform : Boxed Processor Product Family : AMD Ryzen™ Processors Product Line : AMD Ryzen™ 5 Desktop Processors # of CPU Cores : 6 # of Threads : 12 Max. Boost Clock : Up to 4.6GHz Base Clock : 3.7GHz Total L2 Cache : 3MB Total L3 Cache : 32MB Default TDP : 65W Processor Technology for CPU Cores : TSMC 7nm FinFET Unlocked for Overclocking  : Yes CPU Socket : AM4 Thermal Solution (PIB) : Wraith Stealth Max. Operating Temperature (Tjmax) : 95°C *OS Support; Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit *Operating System (OS) support will vary by manufacturer. PCI Express® Version : PCIe 4.0 System Memory Type : DDR4 System Memory Specification : Up to 3200MHz ",https://www.bukalapak.com/p/komputer/hardware/processor/3xhdyuo-jual-amd-ryzen-5-5600x-6-cores-12-threads-3-7ghz-up-to-4-6ghz-am4-processor,https://www.tokopedia.com/starcomporigin/amd-ryzen-5-5600x-6-cores-12-threads-3-7ghz-up-to-4-6ghz-am4-processor,https://shopee.co.id/AMD-Ryzen-5-5600X-6-cores-12-threads-3.7Ghz-Up-to-4.6Ghz-AM4-Processor-i.40255164.3961561100?sp_atk=f0cf70c3-29ba-4339-8ac4-e37c76a4305e,https://api.whatsapp.com/send?phone=+628112641352&text=Hai
AMD RYZEN 7 5800X AM4 PROCESSOR,4.240.000,Stok Tersedia,,['https://starcompjogja.com/storage/product/83b77a00ba5d3f1edf24642e0c0fc617_amd-ryzen-7-5800x-am4-processor_1.webp'], Platform : Boxed Processor Product Family : AMD Ryzen™ Processors Product Line : AMD Ryzen™ 7 Desktop Processors # of CPU Cores : 8 # of Threads : 16 Max. Boost Clock : Up to 4.7GHz Base Clock: 3.8GHz Total L2 Cache : 4MB Total L3 Cache : 32MB Default TDP : 105W Processor Technology for CPU Cores : TSMC 7nm FinFET Unlocked for Overclocking  : Yes CPU Socket : AM4 Thermal Solution (PIB) : Not included Max. Operating Temperature (Tjmax) : 90°C PCI Express® Version : PCIe 4.0 System Memory Type : DDR4 System Memory Specification : Up to 3200MHz   ,https://www.bukalapak.com/p/komputer/hardware/processor/3y11ssy-jual-amd-ryzen-7-5800x-box-8-core-16-threads-am4-processor,https://www.tokopedia.com/starcomporigin/amd-ryzen-7-5800x-box-8-core-16-threads-am4-processor,https://shopee.co.id/AMD-Ryzen%E2%84%A2-7-5800X-BOX-8-Core-16-Threads-AM4-Processor-i.40255164.5162027752?sp_atk=aa008308-5d56-4ce8-9596-83f3dcf4460d,https://api.whatsapp.com/send?phone=+628112641352&text=Hai
INTEL CORE I7 11700K ROCKET LAKE PROCESSOR,6.850.000,Stok Habis,,['https://starcompjogja.com/storage/product/6dd7375beb6fdb3a0fab156712641996_intel-core-i7-11700k-rocket-lake-processor_1.webp']," Jumlah Core : 8 Jumlah Treads  : 16 Frekuensi Turbo Maks : 5.00 GHz Intel® Turbo Boost Max Technology 3.0 Frequency ‡ : 5.00 GHz Intel® Turbo Boost Technology 2.0 Frequency‡: 4.90 GHz Frekuensi Dasar Prosesor  : 3.60 GHz Cache  : 16 MB Intel® Smart Cache Kecepatan Bus : 8 GT/s TDP : 125 W Frekuensi Konfigurasi TDP lebih rendah : 3.10 GHz Konfigurasi TDP lebih rendah : 95 W Max Memory Size (depending on memory type) : 128GB Memory Type : DDR4-3200 Maximum Number of Memory Channels : 2 Max Memory Bandwidth : 50GB/s ECC Memory Supported ‡ : No Graphic Processor ‡ : Intel® UHD Graphics 750 Graphics Base Frequency : 350 MHz Graphics Max Dynamic Frequency ; 1.30 GHz Graphics Video Max Memory : 64GB Execution Unit ; 32 4K Support : Yes, at 60Hz Maximum Resolution (HDMI 1.4)‡ ; 4096x2160@60Hz Maximum Resolution (DP)‡ ; 5120 x 3200 @60Hz Maximum Resolution (eDP - Integrated Flat Panel)‡ ; 5120 x 3200 @60Hz DirectX Support* ; 12.1 OpenGL Support* ; 4.5 Intel® Quick Sync Video : Yes Intel® InTru™ 3D Technology : Yes Intel® Clear Video HD Technology : Yes Intel® Clear Video Technology : Yes Number of Screens Supported ‡: 3 Device ID : 0x4C8A OpenCL* Support : 3.0   ",https://www.bukalapak.com/p/komputer/hardware/processor/4dwo4i7-jual-processor-intel-core-i7-11700k-rocket-lake-proc-core-i7-11700k,https://www.tokopedia.com/starcomporigin/processor-intel-core-i7-11700k-rocket-lake-proc-core-i7-11700k,https://shopee.co.id/Processor-Intel-Core-i7-11700K-Rocket-Lake-Proc-Core-i7-11700K-i.40255164.9927504744?sp_atk=67ce928b-426e-42e7-911a-59bf2c8cc623,https://api.whatsapp.com/send?phone=+628112641352&text=Hai
INTEL CORE I7 10700K PROCESSOR LGA 1200,6.299.000,Stok Habis,,['https://starcompjogja.com/storage/product/1e3d0d24125e3639ec9d2a59986771e6_intel-core-i7-10700k-processor-lga-1200_1.webp'], Performance Specifications  # of Cores : 8 # of Threads : 16 Processor Base Frequency : 3.80 GHz Max Turbo Frequency : 5.10 GHz Cache : 16 MB Intel® Smart Cache Bus Speed: 8 GT/s Intel® Turbo Boost Max Technology 3.0 Frequency ‡ : 5.10 GHz Intel® Turbo Boost Technology 2.0 Frequency‡ : 5.00 GHz TDP : 125 W Configurable TDP-down Frequency : 3.50 GHz Configurable TDP-down : 95 W Memory Specifications : Max Memory Size (dependent on memory type) 128 GB Memory Types ; DDR4-2933 Max # of Memory Channels : 2 Max Memory Bandwidth ; 45.8 GB/s ECC Memory Supported ‡ ; No ,https://www.bukalapak.com/p/komputer/hardware/processor/3hefawv-jual-processor-intel-core-i7-10700k-comet-lake-socket-lga-1200,https://www.tokopedia.com/starcomporigin/processor-intel-core-i7-10700k-comet-lake-socket-lga-1200,https://shopee.co.id/Processor-Intel-Core-I7-10700K-Comet-Lake-Socket-LGA-1200-i.40255164.7441042143?sp_atk=4bb1433c-4e78-413a-a855-e0415ad5fcd9,https://api.whatsapp.com/send?phone=+628112641352&text=Hai
